scenario,year,DA,motor
healthy,3.2884615384615383,0.9835816954077812,0.05462001509106497
healthy,3.3076923076923075,0.9834864790782274,0.05462002016103244
healthy,3.3269230769230766,0.9833912719661584,0.05462002531902056
healthy,3.346153846153846,0.9832960740706821,0.05462003056602766
healthy,3.365384615384615,0.9832008853909063,0.054620035903057536
healthy,3.3846153846153846,0.9831057059259387,0.0546200413311192
healthy,3.4038461538461537,0.9830105356748869,0.05462004685122679
healthy,3.423076923076923,0.9829153746368597,0.054620052464400055
healthy,3.442307692307692,0.9828202228109648,0.05462005817166378
healthy,3.4615384615384612,0.9827250801963104,0.054620063974048026
healthy,3.4807692307692304,0.9826299467920051,0.05462006987258827
healthy,3.4999999999999996,0.9825348225971569,0.05462007586832506
healthy,3.519230769230769,0.9824397076108745,0.05462008196230441
healthy,3.5384615384615383,0.9823446018322664,0.05462008815557742
healthy,3.5576923076923075,0.9822495052604411,0.05462009444920055
healthy,3.5769230769230766,0.9821544178945073,0.054620100844235304
healthy,3.596153846153846,0.982059339733574,0.054620107341748714
healthy,3.615384615384615,0.9819642707767502,0.05462011394281279
healthy,3.6346153846153846,0.9818692110231447,0.05462012064850493
healthy,3.6538461538461537,0.9817741604718667,0.05462012745990771
healthy,3.673076923076923,0.9816791191220253,0.0546201343781087
healthy,3.692307692307692,0.9815840869727297,0.05462014140420117
healthy,3.7115384615384612,0.9814890640230892,0.054620148539282994
healthy,3.7307692307692304,0.9813940502722135,0.05462015578445772
healthy,3.75,0.9812990457192119,0.0546201631408339
healthy,3.769230769230769,0.981204050363194,0.05462017060952531
healthy,3.7884615384615383,0.9811090642032695,0.0546201781916508
healthy,3.8076923076923075,0.9810140872385481,0.054620185888334456
healthy,3.826923076923076,0.9809191194681398,0.05462019370070559
healthy,3.8461538461538454,0.9808241608911543,0.05462020162989867
healthy,3.8653846153846154,0.9807292115067019,0.05462020967705335
healthy,3.8846153846153846,0.9806342713138926,0.05462021784331423
healthy,3.9038461538461537,0.9805393403118363,0.05462022612983133
healthy,3.923076923076923,0.9804444184996436,0.05462023453775969
healthy,3.942307692307692,0.9803495058764249,0.054620243068259404
healthy,3.961538461538461,0.9802546024412907,0.05462025172249583
healthy,3.980769230769231,0.9801597081933512,0.054620260501639414
healthy,4.0,0.9800648231317172,0.054620269406865804
healthy,4.019230769230769,0.9799699472554996,0.05462027843935554
healthy,4.038461538461538,0.979875080563809,0.054620287600294505
healthy,4.0576923076923075,0.9797802230557565,0.05462029689087348
healthy,4.076923076923077,0.9796853747304529,0.05462030631228854
healthy,4.096153846153846,0.9795905355870093,0.05462031586574087
healthy,4.115384615384616,0.9794957056245367,0.05462032555243649
healthy,4.134615384615384,0.9794008848421466,0.05462033537358673
healthy,4.153846153846153,0.97930607323895,0.0546203453304079
healthy,4.1730769230769225,0.9792112708140587,0.05462035542412153
healthy,4.192307692307692,0.9791164775665836,0.05462036565595402
healthy,4.211538461538461,0.9790216934956368,0.054620376027136916
healthy,4.230769230769231,0.9789269186003299,0.05462038653890684
healthy,4.25,0.9788321528797743,0.05462039719250546
healthy,4.269230769230769,0.9787373963330821,0.05462040798917946
healthy,4.288461538461538,0.9786426489593651,0.054620418930180555
healthy,4.3076923076923075,0.9785479107577356,0.054620430016765587
healthy,4.326923076923077,0.9784531817273053,0.05462044125019638
healthy,4.346153846153846,0.9783584618671866,0.054620452631739765
healthy,4.365384615384616,0.9782637511764918,0.05462046416266755
