id,onset_years,diagnosis_DA,arm,DA_18mo,motor_18mo,loss_mito,loss_inflam,loss_proteo
15,0.9847681879221123,0.48624893932659,A_30,0.28470127090898567,0.5396169665142273,0.12138472343783303,0.043907915152064984,0.03625502982770882
15,0.9847681879221123,0.48624893932659,A_60,0.2866279595914254,0.5330671809643576,0.12162577382350567,0.041659208615065245,0.03633599729660616
15,0.9847681879221123,0.48624893932659,B_10,0.2822356383216493,0.5491097994986514,0.12104118235693193,0.04682915928501383,0.036142959363019096
15,0.9847681879221123,0.48624893932659,B_30,0.2831119519467575,0.5455043238664596,0.12116467393963538,0.04578961436972192,0.03618269907049771
15,0.9847681879221123,0.48624893932659,B_60,0.28419885166043873,0.5414060592984246,0.12131614518883643,0.04450164002412594,0.0362323024531985
16,4.4632348995124165,0.6461676634634349,placebo,0.5731908459514993,0.1739054937646849,0.050889610018566005,0.012794669010445845,0.009292538482923144
16,4.4632348995124165,0.6461676634634349,A_10,0.587010325485762,0.15952332174387115,0.04161300213729861,0.010981010088995397,0.006563325751381169
16,4.4632348995124165,0.6461676634634349,A_30,0.596022988859777,0.1500939515812063,0.03584179375927879,0.009559377785671385,0.0047435030587002075
16,4.4632348995124165,0.6461676634634349,A_60,0.6006261914335432,0.14529052469791162,0.032966608350385916,0.008741728954521893,0.0038331347250036845
16,4.4632348995124165,0.6461676634634349,B_10,0.5804422723816551,0.16636750080634197,0.045952589081542934,0.011891000629642646,0.007881801370600641
16,4.4632348995124165,0.6461676634634349,B_30,0.58836551757823,0.15810790168016367,0.04073224368247046,0.0107809130536891,0.006288989149047806
16,4.4632348995124165,0.6461676634634349,B_60,0.5941409816633806,0.15206459057728372,0.037030746439309294,0.009874809377075692,0.00512112598367255
17,16.801184999123493,0.685293229727147,placebo,0.6638441532765383,0.1189351340296993,4.659821068834226e-05,0.004615590190002568,0.01678688804991371
17,16.801184999123493,0.685293229727147,A_10,0.668286640754512,0.11389255124123818,4.222117740400421e-05,0.004115984737738881,0.012848383057488878
17,16.801184999123493,0.685293229727147,A_30,0.671065870901887,0.11073708770373787,3.9537372387700704e-05,0.0037669593025191524,0.0104208621503547
17,16.801184999123493,0.685293229727147,A_60,0.672452721792711,0.10919887952915391,3.8195883736821694e-05,0.003579548100330487,0.009222763950402623
17,16.801184999123493,0.685293229727147,B_10,0.6662021045456872,0.11626623072448698,4.425247449152976e-05,0.004358087132831828,0.01468878557413313
17,16.801184999123493,0.685293229727147,B_30,0.6687104313301302,0.11340938006535342,4.1811052643598184e-05,0.004064840134537978,0.01247614720982614
17,16.801184999123493,0.685293229727147,B_60,0.6704929024827104,0.11138313609762125,4.009033941730867e-05,0.0038416727973925764,0.010918564107631114
18,11.833850636513368,0.6792102522891014,placebo,0.6492244834943833,0.12634095074015045,0.0015601888529863184,0.010613282774847509,0.017812297166867767
18,11.833850636513368,0.6792102522891014,A_10,0.655901803639171,0.11922269801414301,0.001369951758119074,0.009187646892456627,0.012750849999349861
18,11.833850636513368,0.6792102522891014,A_30,0.6593680021816343,0.1156160369831451,0.0012758886309076406,0.008361903609610213,0.010204457866942983
